station_id,sensor_id,"latitude (degree)","longitude (degree)",date_time,"sea_surface_height_amplitude_due_to_equilibrium_ocean_tide (m)",type,datum_id,"vertical_position (m)"
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-04T18:04:00Z,2.087,H,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-04T23:55:00Z,0.223,L,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-05T06:14:00Z,2.524,H,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-05T12:42:00Z,-0.231,L,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-05T19:01:00Z,2.173,H,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-06T00:43:00Z,0.272,L,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-06T06:57:00Z,2.651,H,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-06T13:30:00Z,-0.445,L,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-06T19:55:00Z,2.225,H,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-07T01:31:00Z,0.345,L,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-07T07:40:00Z,2.721,H,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-07T14:18:00Z,-0.576,L,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-07T20:48:00Z,2.235,H,urn:ioos:def:datum:noaa::MLLW,1.146
urn:ioos:station:NOAA.NOS.CO-OPS:9432780,urn:ioos:sensor:NOAA.NOS.CO-OPS:9432780:PREDICTIONS,43.3450,-124.3220,2016-05-08T02:18:00Z,0.439,L,urn:ioos:def:datum:noaa::MLLW,1.146
